RBC_V2.data

21702 atoms
3202 bonds
8346 ellipsoids

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

   1.000    2.000    0.005    0.007   25.010    1.000    0.239    0.524    0.239    0.000 
   2.000    2.000    0.005    0.009  -24.994    1.000    0.239    0.524    0.239    0.000 
   3.000    1.000    0.970    0.009   24.984    1.000    0.239    0.524    0.239    0.000 
   4.000    1.000    0.490    0.847   24.987    1.000    0.239    0.524    0.239    0.000 
   5.000    1.000   -0.476    0.842   24.991    1.000    0.239    0.524    0.239    0.000 
   6.000    1.000   -0.963    0.005   24.987    1.000    0.239    0.524    0.239    0.000 
   7.000    1.000   -0.483   -0.834   24.985    1.000    0.239    0.524    0.239    0.000 
   8.000    1.000    0.494   -0.833   24.986    1.000    0.239    0.524    0.239    0.000 
   9.000    1.000    1.947    0.005   24.932    1.000    0.239    0.524    0.239    0.000 
  10.000    1.000    1.724    0.903   24.927    1.000    0.239    0.524    0.239    0.000 
  11.000    1.000    1.104    1.595   24.927    1.000    0.239    0.524    0.239    0.000 
  12.000    1.000    0.240    1.924   24.926    1.000    0.239    0.524    0.239    0.000 
  13.000    1.000   -0.679    1.816   24.932    1.000    0.239    0.524    0.239    0.000 
  14.000    1.000   -1.446    1.285   24.932    1.000    0.239    0.524    0.239    0.000 
  15.000    1.000   -1.874    0.472   24.925    1.000    0.239    0.524    0.239    0.000 
  16.000    1.000   -1.873   -0.460   24.932    1.000    0.239    0.524    0.239    0.000 
  17.000    1.000   -1.443   -1.280   24.925    1.000    0.239    0.524    0.239    0.000 
  18.000    1.000   -0.681   -1.811   24.933    1.000    0.239    0.524    0.239    0.000 
  19.000    1.000    0.243   -1.919   24.931    1.000    0.239    0.524    0.239    0.000 
  20.000    1.000    1.109   -1.587   24.934    1.000    0.239    0.524    0.239    0.000 
  21.000    1.000    1.717   -0.896   24.926    1.000    0.239    0.524    0.239    0.000 
  22.000    1.000    2.907    0.002   24.836    1.000    0.239    0.524    0.239    0.000 
  23.000    1.000    2.748    0.951   24.835    1.000    0.239    0.524    0.239    0.000 
  24.000    1.000    2.292    1.791   24.835    1.000    0.239    0.524    0.239    0.000 
  25.000    1.000    1.591    2.433   24.833    1.000    0.239    0.524    0.239    0.000 
  26.000    1.000    0.716    2.817   24.836    1.000    0.239    0.524    0.239    0.000 
  27.000    1.000   -0.231    2.895   24.838    1.000    0.239    0.524    0.239    0.000 
  28.000    1.000   -1.164    2.667   24.835    1.000    0.239    0.524    0.239    0.000 
  29.000    1.000   -1.965    2.137   24.840    1.000    0.239    0.524    0.239    0.000 
  30.000    1.000   -2.552    1.388   24.835    1.000    0.239    0.524    0.239    0.000 
  31.000    1.000   -2.855    0.479   24.835    1.000    0.239    0.524    0.239    0.000 
  32.000    1.000   -2.860   -0.476   24.836    1.000    0.239    0.524    0.239    0.000 
  33.000    1.000   -2.549   -1.373   24.836    1.000    0.239    0.524    0.239    0.000 
  34.000    1.000   -1.958   -2.133   24.837    1.000    0.239    0.524    0.239    0.000 
