RBC_V2.data

21702 atoms
3202 bonds
8346 ellipsoids

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

   1.000    2.000    0.008    0.001   25.001    1.000    0.239    0.524    0.000
   2.000    2.000    0.001    0.004  -24.997    1.000    0.239    0.524    0.000
   3.000    1.000    0.978    0.002   24.989    1.000    0.239    0.524    0.000
   4.000    1.000    0.490    0.846   24.990    1.000    0.239    0.524    0.000
   5.000    1.000   -0.481    0.849   24.987    1.000    0.239    0.524    0.000
   6.000    1.000   -0.964    0.007   24.983    1.000    0.239    0.524    0.000
   7.000    1.000   -0.482   -0.835   24.985    1.000    0.239    0.524    0.000
   8.000    1.000    0.490   -0.836   24.990    1.000    0.239    0.524    0.000
   9.000    1.000    1.946    0.004   24.933    1.000    0.239    0.524    0.000
  10.000    1.000    1.717    0.902   24.931    1.000    0.239    0.524    0.000
  11.000    1.000    1.109    1.596   24.929    1.000    0.239    0.524    0.000
  12.000    1.000    0.241    1.925   24.925    1.000    0.239    0.524    0.000
  13.000    1.000   -0.685    1.815   24.931    1.000    0.239    0.524    0.000
  14.000    1.000   -1.444    1.294   24.930    1.000    0.239    0.524    0.000
  15.000    1.000   -1.880    0.466   24.926    1.000    0.239    0.524    0.000
  16.000    1.000   -1.878   -0.459   24.934    1.000    0.239    0.524    0.000
  17.000    1.000   -1.447   -1.283   24.932    1.000    0.239    0.524    0.000
  18.000    1.000   -0.687   -1.807   24.928    1.000    0.239    0.524    0.000
  19.000    1.000    0.237   -1.915   24.926    1.000    0.239    0.524    0.000
  20.000    1.000    1.102   -1.594   24.928    1.000    0.239    0.524    0.000
  21.000    1.000    1.717   -0.899   24.927    1.000    0.239    0.524    0.000
  22.000    1.000    2.911    0.009   24.835    1.000    0.239    0.524    0.000
  23.000    1.000    2.753    0.945   24.833    1.000    0.239    0.524    0.000
  24.000    1.000    2.295    1.792   24.834    1.000    0.239    0.524    0.000
  25.000    1.000    1.597    2.434   24.835    1.000    0.239    0.524    0.000
  26.000    1.000    0.720    2.823   24.840    1.000    0.239    0.524    0.000
  27.000    1.000   -0.238    2.901   24.840    1.000    0.239    0.524    0.000
  28.000    1.000   -1.164    2.662   24.839    1.000    0.239    0.524    0.000
  29.000    1.000   -1.964    2.143   24.833    1.000    0.239    0.524    0.000
  30.000    1.000   -2.552    1.386   24.838    1.000    0.239    0.524    0.000
  31.000    1.000   -2.853    0.480   24.833    1.000    0.239    0.524    0.000
  32.000    1.000   -2.862   -0.469   24.840    1.000    0.239    0.524    0.000
  33.000    1.000   -2.543   -1.378   24.832    1.000    0.239    0.524    0.000
  34.000    1.000   -1.966   -2.126   24.836    1.000    0.239    0.524    0.000
  35.000    1.000   -1.160   -2.653   24.837    1.000    0.239    0.524    0.000
  36.000    1.000   -0.230   -2.892   24.839    1.000    0.239    0.524    0.000
