This File produces a vesicle with diameter =    50.000000

21702 atoms
3202 bonds
8346 ellipsoids

7 atom types
3 bond types

-35 35 xlo xhi
-35 35 ylo yhi
-35 35 zlo zhi


Atoms

1 2  8.147237e-03 3.465390e-03 2.500694e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
2 2  9.057919e-03 7.571508e-03 -2.499069e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
3 1  9.706541e-01 3.602129e-03 2.498275e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
4 1  4.938259e-01 8.450775e-01 2.498173e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
5 1  -4.783685e-01 8.483986e-01 2.498729e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
6 1  -9.684089e-01 8.401639e-03 2.498363e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
7 1  -4.819072e-01 -8.370711e-01 2.498678e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
8 1  4.901610e-01 -8.351552e-01 2.498798e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
9 1  1.946886e+00 8.285529e-03 2.492949e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
10 1  1.725052e+00 9.018401e-01 2.493141e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
11 1  1.102094e+00 1.601955e+00 2.493291e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
12 1  2.432229e-01 1.931950e+00 2.493339e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
13 1  -6.774081e-01 1.816438e+00 2.493193e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
14 1  -1.445244e+00 1.290377e+00 2.492746e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
15 1  -1.873013e+00 4.721436e-01 2.492778e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
16 1  -1.879597e+00 -4.537823e-01 2.492668e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
17 1  -1.445880e+00 -1.276772e+00 2.493082e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
18 1  -6.778224e-01 -1.807910e+00 2.493261e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
19 1  2.414391e-01 -1.918166e+00 2.492578e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
20 1  1.110113e+00 -1.591823e+00 2.492892e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
21 1  1.721961e+00 -8.952144e-01 2.493114e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
22 1  2.902680e+00 7.861985e-04 2.483861e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
23 1  2.753558e+00 9.429417e-01 2.483612e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
24 1  2.299680e+00 1.788993e+00 2.483143e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
25 1  1.594207e+00 2.435896e+00 2.483537e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
26 1  7.200555e-01 2.814327e+00 2.483877e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
27 1  -2.322406e-01 2.898505e+00 2.484087e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
28 1  -1.161928e+00 2.663317e+00 2.483945e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
29 1  -1.959135e+00 2.143868e+00 2.483156e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
30 1  -2.550805e+00 1.387780e+00 2.483863e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
31 1  -2.855678e+00 4.804230e-01 2.483821e+01  1 2.387324e-01 5.235988e-01 2.387324e-01 0 
